temperature	v_out
-4.500000000000000e+01	2.499896e+00
-2.500000000000000e+01	2.479137e+00
-5.000000000000000e+00	2.560513e+00
1.500000000000000e+01	2.499596e+00
3.500000000000000e+01	2.481156e+00
5.500000000000000e+01	2.519308e+00
7.500000000000000e+01	2.492936e+00
9.500000000000000e+01	2.513123e+00
1.150000000000000e+02	2.472216e+00
1.250000000000000e+02	2.519815e+00
-4.500000000000000e+01	2.504900e+00
-2.500000000000000e+01	2.505480e+00
-5.000000000000000e+00	2.501663e+00
1.500000000000000e+01	2.467474e+00
3.500000000000000e+01	2.535983e+00
5.500000000000000e+01	2.463872e+00
7.500000000000000e+01	2.488673e+00
9.500000000000000e+01	2.500093e+00
1.150000000000000e+02	2.466217e+00
1.250000000000000e+02	2.458064e+00
-4.500000000000000e+01	2.488141e+00
-2.500000000000000e+01	2.531096e+00
-5.000000000000000e+00	2.526865e+00
1.500000000000000e+01	2.498986e+00
3.500000000000000e+01	2.504332e+00
5.500000000000000e+01	2.502917e+00
7.500000000000000e+01	2.550045e+00
9.500000000000000e+01	2.539916e+00
1.150000000000000e+02	2.472701e+00
1.250000000000000e+02	2.486494e+00
-4.500000000000000e+01	2.468643e+00
-2.500000000000000e+01	2.479093e+00
-5.000000000000000e+00	2.479803e+00
1.500000000000000e+01	2.514565e+00
3.500000000000000e+01	2.509074e+00
5.500000000000000e+01	2.501317e+00
7.500000000000000e+01	2.549618e+00
9.500000000000000e+01	2.507627e+00
1.150000000000000e+02	2.520299e+00
1.250000000000000e+02	2.491208e+00
-4.500000000000000e+01	2.574945e+00
-2.500000000000000e+01	2.497699e+00
-5.000000000000000e+00	2.498901e+00
1.500000000000000e+01	2.469700e+00
3.500000000000000e+01	2.507123e+00
5.500000000000000e+01	2.465561e+00
7.500000000000000e+01	2.500339e+00
9.500000000000000e+01	2.507678e+00
1.150000000000000e+02	2.509850e+00
1.250000000000000e+02	2.498328e+00
-4.500000000000000e+01	2.522994e+00
-2.500000000000000e+01	2.515460e+00
-5.000000000000000e+00	2.504276e+00
1.500000000000000e+01	2.462524e+00
3.500000000000000e+01	2.520658e+00
5.500000000000000e+01	2.513974e+00
7.500000000000000e+01	2.538343e+00
9.500000000000000e+01	2.483463e+00
1.150000000000000e+02	2.477847e+00
1.250000000000000e+02	2.516068e+00
-4.500000000000000e+01	2.497189e+00
-2.500000000000000e+01	2.481710e+00
-5.000000000000000e+00	2.508940e+00
1.500000000000000e+01	2.482941e+00
3.500000000000000e+01	2.489887e+00
5.500000000000000e+01	2.504232e+00
7.500000000000000e+01	2.512512e+00
9.500000000000000e+01	2.480827e+00
1.150000000000000e+02	2.468303e+00
1.250000000000000e+02	2.499699e+00
-4.500000000000000e+01	2.540056e+00
-2.500000000000000e+01	2.508729e+00
-5.000000000000000e+00	2.525619e+00
1.500000000000000e+01	2.526864e+00
3.500000000000000e+01	2.528911e+00
5.500000000000000e+01	2.461398e+00
7.500000000000000e+01	2.493367e+00
9.500000000000000e+01	2.491192e+00
